0,NEW TL,0,none
1,‚r‚j‚h‚k‚k‚O‚O‚O‚P,0,--
2,‚r‚j‚h‚k‚k‚O‚O‚O‚Q,0,--
3,‚r‚j‚h‚k‚k‚O‚O‚O‚R,0,--
4,‚r‚j‚h‚k‚k‚O‚O‚O‚S,0,--
5,‚r‚j‚h‚k‚k‚O‚O‚O‚T,0,--
6,‚r‚j‚h‚k‚k‚O‚O‚O‚U,0,--
7,‚r‚j‚h‚k‚k‚O‚O‚O‚V,0,--
8,‚r‚j‚h‚k‚k‚O‚O‚O‚W,0,--
9,‚r‚j‚h‚k‚k‚O‚O‚O‚X,0,--
10,‚r‚j‚h‚k‚k‚O‚O‚P‚O,0,--
11,Death Match,1,Power is higher the lower the user's current HP is.
12,Perfect Aim,1,Defeats the foe if it hits, regardless of their HP.
13,Phantasmagoria,0,(unimplemented)
14,Prank,1,Halves the foe's current HP.
15,Recompensate,1,Lowers the foe's HP to be the same as the user's HP.
16,Whole Being,1,Bypasses half of the foe's FoDef, but the user faints.
17,Final Tribulation,1,Bypasses half of the foe's FoDef, but the user faints. Is more powerful for Void-types.
18,Last Resort,1,Can only be used when all other skills have been used once.
19,Firm Spirit,2,A two-turn skill. On the first turn, the user's FoDef is raised.
20,Overskill,2,The user takes 1/3 of the damage in recoil.
21,Spirit Rush,2,The user takes 1/4 of the damage in recoil.
22,Frenzied Joururi,1,A normal attack.
23,Swallow Cut,1,A normal attack with increased priority.
24,Blow from Calamity,2,Power doubles if the user has a status ailment. Ignores the penalty from Dark status.
25,Retaliation,1,Power doubles if an ally was defeated last turn.
26,Piercing Stab,1,Ignores the opponent's stat modifiers.
27,Struggle,1,(struggle's description should not be visible)
28,Cruciform,1,Hits twice.
29,Raid,1,Will always make the foe flinch, but can only be used on entering combat.
30,Tiger Rush,1,A normal attack with increased priority.
31,Shadow Rush,1,Bypasses Supernatural Border and Thorned Ivy, and has increased priority.
32,Danmaku Dance,2,The user attacks for 2-3 turns, then becomes confused.
33,Crossbow Assault,2,30% chance to paralyze the foe.
34,Tri-Effect,2,20% chance to paralyze, blind, or scare the foe.
35,Destruction,2,30% chance to make the foe flinch.
36,Volley,2,Always hits.
37,Heavenly Blessing,2,During weather, power doubles and the type changes.
38,Earthly Blessing,2,During terrain, power doubles and the type changes.
39,Random Shots,2,Hits two to five times.
40,False Courage,0,Attempts to survive the next attack with 1 HP. May fail if used consecutively.
41,Supernatural Border,0,Blocks all damage from the foe's attack. May fail if used consecutively.
42,Magic Barrier,0,Puts up a barrier using a fourth of the user's max HP.
43,Invoke Deity,0,Sharply raises one of the user's stats randomly.
44,First Aid,0,Restores half of the user's HP.
45,Resourcefulness,0,Recovers a used held item.
46,Power Spot,0,At the end of the next turn, the current puppet regains half of the user's max HP.
47,Unconscious Mind,0,Can only be used while stopped. Randomly uses another skill.
48,Inner Power,0,Sacrifices half of the user's HP to maximize FoAtk.
49,Camouflage,0,Sharply raises the user's Evasion.
50,Imposing Air,0,Raises the user's FoAtk and Speed.
51,Offensive Trance,0,Sharply raises the user's FoAtk, SpAtk, and Speed at the cost of FDef and SDef.
52,Battle Preparation,0,Raises the user's FoAtk, FoDef, and Accuracy.
53,Foresee,0,Attempts to use the attacking skill the foe will use, with 50% more power.
54,Confine,0,Paralyzes the foe.
